filiacao,familiares,familiares_quais,motivacao,tempo_existencia,peso_escolha,qualidade_programa,qualidade_lideres_nacionais,qualidade_lideres_regionais,bancadas_congresso,bancadas_estaduais_municipais,agenda_partido,agricultura_pecuária,educação,esportes_lazer,infraestrutura_urbana,saude,trabalho_emprego,transportes_publicos,artes_cultura,ciencia_tecnologia_inovacao,combate_homofobia,combate_racismo,igualdade_genero,meio_ambiente,representacao_mulheres_política,atividades_partido,atividades_formacao_politica,atuacao_campanhas_eleitorais,atuacao_campanhas_filiacao,cargos_administracao,concorrer_eleicao,cargos_pretende_concorrer,experiencia_importante,experiencia_comentario,idade,renda_familiar_mensal,escolaridade,area_formacao,religiao,situacao_ocupacional,setor_ocupacao,cor_raca,local_residencia,regiao_residencia,partido,espectro,materialista,pos_materialista,agenda,filiacao_familiar,filiacao_estudantil,filiacao_social,interior,metropolitana,capital,influencia_filiacao,espectro_binario,sexo,ponderacao
5,3,3,22,1,1,5,5,5,5,5,5,5,5,1,5,5,5,5,1,2,2,2,3,1,3,3,32,1,1,3,3,2,7,1,2,6,6,1,2,2,5,2,2,2,11,40,5,1875,1,1,0,0,1,0,0,1,0,1,1.1039
2,2,1,4,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,3,3,3,25,16,6,8,2,2,1,7,1,1,5,2,1,4,4,1,2,4,2,11,40,5,3.25,1,0,1,0,0,1,0,2,0,1,1.1039
2,2,1,4,3,1,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5, ,3,3,1,3,6,32,1,1,3,3,8,3,1,2,2,4,2,4,2,4,2,4,5,24,40,5,2.4285714285714284,1,0,1,0,0,1,0,2,0,1,1.1039
2,2,1,4,3,3,5,5,5,5,5,5,1,5,1,2,5,5,5,2,4,3,3,3,3,3,3,32,1,1,1,1,1,3,57,3,6,5,1,2,1,1,2,4,4,30,40,3.8333333333333335,2.75,1,0,1,0,0,1,0,2,0,1,1.1039
2,2,1,4,2,1,5,5,5,5,5,5,5,5,1,5,5,5,5,1,1,1,1,1,2,2,4,34,1,4,1,1,1,3,95,2,6,5,1,5,1,1,2,4,5,36,40,5,1.25,1,0,1,0,0,1,0,2,0,1,1.1039
2,2,1,6,3,1,5,5,4,4,5,5,5,5,1,5,5,5,5,2,3,2,2,2,3,3,7,35,3,3,1,1,1,3,15,2,6,6,1,6,4,1,4,4,4,36,40,5,2.25,1,0,1,0,0,1,0,2,0,1,1.1039
3,2,1,9,3,1,5,5,5,5,5,5,5,5,2,5,5,5,5,2,5,2,3,4,1,4,4,20,4,5,3,3,8,3,1,2,2,5,1,4,2,5,2,4,5,24,40,5,2875,1,0,0,1,0,1,0,3,0,1,1.1039
3,2,1,9,3,1,5,5,5,5,5,5,5,5,3,5,5,5,5,1,3,2,2,2,3,2,18,35,1,1,1,1,1,4,24,3,6,3,1,6,2,4,2,4,2,36,40,5,2.25,1,0,0,1,0,1,0,3,0,1,1.1039
3,2,1,9,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,2,3,5,35,1,1,1,1,1,4,1,1,2,2,1,5,4,1,2,4,1,36,40,5,1875,1,0,0,1,0,1,0,3,0,1,1.1039
4,2,1,20,3,2,5,4,4,4,5,5,5,5,1,3,5,4,3,1,2,1,1,1,1,1,11,8,4,5,1,1,1,7,1,3,6,6,1,6,1,1,4,4,4,13,40,4.166666666666667,1125,1,0,0,0,0,1,0, ,0,1,1.1039
4,2,1,20,3,2,5,5,5,5,5,5,5,5,1,4,5,5,5,1,1,1,1,1,1,1,42,18,4,5,2,2,1,7,1,2,5,6,1,3,4,1,4,4,2,13,40,4.833333333333333,1,1,0,0,0,0,1,0, ,0,1,1.1039
